,Model,Parameters,mean_train_score,std_train_score,mean_test_score,std_test_score
30,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 10",0.7872193201776513,0.003138731029953582,0.7576528093764433,0.0007880932439577283
31,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 0",0.7732453049211108,0.0014668907402869348,0.7570728471602481,0.0005198824901114165
32,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 5",0.7891265539371228,0.00734176810422,0.7566607917320557,0.0011602723061132775
33,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 100",0.8198069951922603,0.005462600861190788,0.7566175282995294,0.0012441519766696408
34,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 100",0.7814440631480357,0.003262774010095194,0.7561283804143013,0.0010528093335892517
35,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 1",0.786049727681832,0.003423837267502573,0.7558121745846768,0.0004971889086196714
36,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 0",0.7829343810292752,0.0007571270558309135,0.7552456023499688,0.002002108722896961
37,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 100",0.8251910173042792,0.005738647102551501,0.7540307899000093,0.0016603622427653075
38,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 100",0.7882517392040773,0.003355928138415078,0.7520881326233191,0.0018389457207843125
39,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 10",0.7715781697746912,0.003669219521311562,0.7513042261530645,0.0009882207900240763
40,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 100",0.8613304680119307,0.0037319015830449345,0.7505339356225179,0.0010020690172945932
41,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 10",0.8221309715779334,0.003993031545937502,0.7503666451316479,0.0024564959108820017
42,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 5",0.8127475057896655,0.005586102848914222,0.7494529389706321,0.0005094008582768413
43,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 5",0.7734216406552331,0.001751359808688587,0.749095964642091,0.004333226548493698
44,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 0",0.7676640825990618,0.003360002805608457,0.748924954972841,0.0022607293692507974
45,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 1",0.7691186202830735,0.0034610717473059897,0.7481391369899715,0.002847240099584631
